-321	918	307	-321	791	331	-938	1166	1044	Ascending
-369	109	1078	-369	109	1078	-807	1540	1077	Ascending
-1580	3805	2208	-1580	2284	2517	-852	1329	1056	Ascending
-50	2194	646	-158	2087	646	-923	1166	1012	Ascending
-93	1486	-84	-93	1486	-84	-999	996	953	Ascending
-303	1043	404	-303	1043	437	-985	934	843	Ascending
-151	1734	522	-378	1782	589	-987	910	809	Ascending
-757	1897	693	-727	1897	693	-988	968	918	Ascending
-298	1384	-567	-409	1380	-567	-1069	1161	1132	Ascending
-116	164	256	-116	70	183	-935	1496	1147	Ascending
-461	-74	645	-461	-74	782	-862	1811	1107	Ascending
-821	688	1428	-821	688	2428	-912	1611	1145	Ascending
-368	2422	890	-368	2422	1146	-1038	1342	1161	Ascending
105	1464	148	105	1464	148	-1212	1071	1115	Ascending
-364	798	506	-377	843	506	-1260	1016	1069	Ascending
42	1433	411	42	1533	411	-1310	992	1066	Ascending
-429	2176	196	-567	2217	367	-1303	934	989	Ascending
-710	1534	540	-710	1183	-2	-1437	1001	1149	Ascending
-561	907	308	-561	907	238	-1540	1192	1246	Ascending
-22	387	213	-22	387	213	-1575	1348	1343	Ascending
-988	768	2400	-988	768	2400	-1846	1181	1293	Ascending
-506	-300	115	-417	-293	115	-2307	1132	1180	Ascending
-379	886	520	-306	955	520	-2605	945	856	Ascending
174	1358	528	174	1244	532	-2718	877	473	Ascending
-743	2261	281	-743	2006	859	-2923	792	284	Ascending
-860	1417	232	-860	1417	232	-3007	875	916	Ascending
60	412	851	60	412	851	-2623	1107	1320	Ascending
-438	-426	728	-439	-426	728	-2352	1308	1441	Ascending
-1060	2211	1246	-429	2183	1246	-2321	1132	1295	Ascending
-404	1340	586	-343	1270	579	-2397	873	985	Ascending
46	1250	-28	80	1277	-28	-2398	706	563	Ascending
30	1246	119	30	1246	255	-2273	658	286	Ascending
-421	2547	630	-403	2320	630	-2159	652	142	Ascending
-571	1329	-208	-571	1329	-208	-2209	575	470	Ascending
-167	216	158	-167	110	202	-2191	694	1028	Ascending
-32	190	-521	98	77	-521	-2106	740	1146	Ascending
-142	1733	474	-142	2501	666	-2160	575	795	Ascending
5	1189	44	-42	1219	44	-2082	506	289	Ascending
182	1460	543	182	1460	543	-1996	604	64	Ascending
-371	2343	60	-371	2146	85	-1939	646	33	Ascending
-523	1185	-229	-664	1268	-229	-2062	506	432	Ascending
-244	57	-2	-244	-199	171	-2161	679	969	Ascending
73	-101	963	289	-35	771	-2150	781	1074	Ascending
-244	739	247	-244	739	247	-2226	646	712	Ascending
-123	1088	57	-123	1366	40	-2124	606	321	Ascending
-4	1418	304	14	1418	304	-2065	668	116	Ascending
-495	2437	228	-495	2437	234	-2020	704	86	Ascending
-364	1361	-411	-399	1418	-508	-2080	599	462	Ascending
-118	92	90	-217	92	90	-2176	772	1024	Ascending
-331	-210	743	-331	302	1474	-2152	804	1050	Ascending
-110	1435	556	-50	1710	556	-2183	658	687	Ascending
-324	1007	109	-324	1007	109	-2099	605	345	Ascending
174	1516	118	174	1581	78	-2034	669	146	Ascending
-539	1892	355	-561	1892	355	-1973	688	131	Ascending
-808	1551	-431	-808	1551	-290	-2089	617	467	Ascending
-231	260	155	-259	293	195	-2134	748	1008	Ascending
-193	-269	1036	-8	-269	1036	-2079	870	1168	Ascending
-562	-518	264	-562	-262	-177	-2164	712	848	Ascending
-239	823	11	-66	1110	11	-2164	650	368	Ascending
-205	1054	417	-248	1054	417	-2068	712	126	Ascending
-218	1675	135	-218	1675	203	-2030	797	57	Ascending
-805	1595	759	-727	1660	720	-1989	752	86	Ascending
-790	1311	-202	-790	1311	-202	-2042	626	510	Ascending
19	80	8	19	13	-15	-1939	668	866	Ascending
-297	1325	1435	-541	1343	1435	-1886	725	567	Ascending
-523	1410	-442	-523	1410	-186	-1828	843	353	Ascending
437	1443	-413	442	1325	-178	-1604	993	96	Ascending
-219	1363	561	-233	1363	561	-1416	1083	59	Ascending
-359	1644	512	-359	1644	356	-1236	1056	248	Ascending
-799	1379	196	-838	1205	161	-1300	921	713	Ascending
-278	73	689	-278	73	689	-1129	1263	1018	Ascending
-26	-583	1131	230	-208	210	-1040	1386	1017	Ascending
-401	648	713	-453	648	713	-1134	1175	956	Ascending
153	1314	407	153	1314	407	-1193	1009	845	Ascending
-287	1071	312	-210	1090	263	-1188	933	742	Ascending
-155	1188	173	-155	1188	173	-1189	935	691	Ascending
-313	2413	65	-313	2409	133	-1177	951	666	Ascending
67	1839	327	48	1987	327	-1204	939	824	Ascending
-3	870	435	-3	870	691	-1239	1011	1046	Ascending
-366	465	669	-350	430	756	-1108	1286	1207	Ascending
-405	-242	959	-405	-242	959	-1075	1450	1231	Ascending
-411	1579	1271	-411	208	721	-1159	1237	1180	Ascending
-342	790	460	-330	811	460	-1247	972	1072	Ascending
-249	1062	282	-249	1062	311	-1288	806	909	Ascending
-246	1256	126	-202	1312	41	-1297	1020	785	Ascending
-151	1377	224	-144	1377	224	-1280	801	768	Ascending
-674	1720	745	-674	1692	690	-1231	823	806	Ascending
-246	1761	-362	-284	1729	-362	-1274	908	1015	Ascending
-20	887	286	-20	887	286	-1191	1137	1226	Ascending
-337	279	739	-320	287	714	-1019	1473	1287	Ascending
-270	116	981	-247	116	981	-1057	1464	1289	Ascending
-498	230	904	-498	230	665	-1103	1347	1276	Ascending
-341	618	566	-291	705	566	-1154	1140	1197	Ascending
-174	1138	317	-205	1138	317	-1270	907	1086	Ascending
-155	1361	317	-155	1181	286	-1277	810	952	Ascending
-199	1385	205	-186	1385	205	-1271	778	863	Ascending
-188	1356	50	-188	1386	58	-1286	792	853	Ascending
-2	1892	64	-27	2062	64	-1282	832	854	Ascending
-372	1854	740	-372	1854	740	-1283	891	938	Ascending
-326	1368	384	-347	1325	428	-1292	1066	1177	Ascending
-270	431	598	-260	431	598	-1070	1350	1268	Ascending
-383	165	713	-383	165	713	-931	1596	1239	Ascending
-162	166	1014	-162	166	1014	-1008	1460	1235	Ascending
-330	154	120	-330	154	417	-1028	1351	1174	Ascending
-27	1148	422	-27	1277	464	-1089	1126	1084	Ascending
-175	1039	258	-233	1371	258	-1101	996	975	Ascending
-274	1271	276	-284	1242	259	-1079	952	865	Ascending
-190	1295	85	-190	1295	85	-1063	977	835	Ascending
92	1890	-10	189	2068	-159	-1020	1040	813	Ascending
-622	1579	200	-622	1579	200	-960	1072	814	Ascending
-426	1298	63	-426	1355	215	-957	1154	936	Ascending
-302	933	530	-339	933	530	-970	1276	1023	Ascending
-272	486	659	-272	486	749	-897	1466	1038	Ascending
-249	194	927	-272	154	927	-868	1574	1040	Ascending
-116	94	1318	-116	94	1726	-903	1473	1041	Ascending
-524	1326	1151	-657	1785	1172	-896	1344	984	Ascending
-116	1245	603	-116	1245	603	-971	1183	954	Ascending
-95	1358	314	-40	1252	219	-1011	1084	908	Ascending
-181	1228	194	-196	1228	194	-1011	1028	837	Ascending
-199	1239	118	-199	1239	71	-1021	1026	825	Ascending
-445	1920	302	-538	1938	302	-989	1050	821	Ascending
-249	1607	425	-249	1607	363	-982	1113	952	Ascending
-439	1216	148	-399	1176	239	-990	1249	1131	Ascending
-302	426	501	-302	426	501	-879	1511	1172	Ascending
-301	258	540	-301	303	552	-874	1583	1189	Ascending
-505	1927	1475	-770	1852	1475	-1055	1289	1252	Ascending
-108	1756	198	-108	1756	311	-1277	1086	1266	Ascending
-124	1261	165	-102	1269	171	-1539	859	1155	Ascending
-101	1414	214	-101	1414	214	-1674	797	1095	Ascending
-581	1365	-156	-325	1317	-153	-1803	895	1254	Ascending
-222	674	-15	-10	674	-15	-1940	1202	1336	Ascending
-425	377	1006	-425	889	1095	-2004	1142	1305	Ascending
-1276	1154	814	-1297	1154	814	-2191	1006	1164	Ascending
-264	1063	451	-264	1063	195	-2336	795	831	Ascending
-79	1240	486	-168	1261	533	-2354	717	471	Ascending
-416	1818	612	-631	1818	612	-2388	654	403	Ascending
42	1740	154	42	1574	81	-2510	648	756	Ascending
-267	475	483	-189	407	483	-2365	975	1275	Ascending
-284	-270	1032	-284	-270	1100	-2318	1092	1349	Ascending
-737	-389	496	-544	-72	496	-2346	959	1208	Ascending
-138	1010	528	-138	1010	528	-2428	758	901	Ascending
-105	1252	293	-66	1263	293	-2385	639	551	Ascending
-162	1116	239	-162	1116	239	-2346	620	364	Ascending
-215	1292	70	-228	1283	70	-2053	684	251	Ascending
-244	1558	72	-244	1558	72	-2255	737	205	Ascending
-381	1602	192	-380	1589	190	-2177	679	168	Ascending
-207	1594	13	-243	1594	13	-2151	601	282	Ascending
-115	1102	570	-115	1102	460	-2238	620	552	Ascending
-164	600	640	-144	600	640	-2286	783	908	Ascending
-292	329	886	-292	341	898	-2231	921	1135	Ascending
-265	295	1088	-235	295	1088	-2237	907	1110	Ascending
-286	781	1119	-286	13	784	-2243	799	970	Ascending
-219	721	525	-227	789	525	-2227	694	709	Ascending
-196	1105	414	-196	1105	414	-2180	637	427	Ascending
-228	1265	290	-220	1274	313	-2116	625	303	Ascending
-189	1321	233	-206	1321	233	-2113	673	207	Ascending
-184	1231	137	-184	1218	150	-2104	706	188	Ascending
-564	1492	124	-561	1492	124	-2075	739	160	Ascending
-352	1746	439	-352	1746	422	-2030	679	182	Ascending
-408	1396	5	-413	1317	5	-2056	595	422	Ascending
-259	776	593	-259	776	507	-2154	673	767	Ascending
-296	547	846	-294	490	876	-2120	834	1073	Ascending
-267	238	1020	-267	238	1020	-2081	885	1166	Ascending
-110	33	1171	-110	33	1159	-2099	822	1104	Ascending
-441	-268	483	-406	410	483	-2098	715	952	Ascending
-34	1278	657	-34	1278	657	-2065	584	667	Ascending
-37	1199	372	-63	1192	336	-2027	566	348	Ascending
-308	1181	296	-282	1181	296	-1945	587	210	Ascending
-174	1308	227	-174	1308	281	-1912	621	99	Ascending
-272	1280	84	-251	1266	117	-1871	682	26	Ascending
-392	1765	-23	-392	1765	-23	-1833	707	-24	Ascending
-450	1484	267	-450	1420	252	-1769	624	17	Ascending
-313	1454	-23	-313	1454	-23	-1834	506	264	Ascending
-286	955	608	-286	1211	555	-1994	521	618	Ascending
-189	633	794	-208	647	794	-1994	651	998	Ascending
-326	107	899	-326	107	899	-1936	776	1181	Ascending
-1203	1609	2180	-947	2888	2850	-1957	674	1047	Ascending
-247	1198	868	-184	1198	868	-1970	576	837	Ascending
-165	1081	513	-165	1117	486	-1965	525	552	Ascending
-199	1188	382	-223	1177	382	-1900	520	331	Ascending
-235	1241	253	-235	1241	253	-1871	548	182	Ascending
-256	1163	107	-256	1209	124	-1829	607	84	Ascending
-241	1658	63	-339	1658	63	-1775	646	43	Ascending
-509	1661	406	-509	1661	411	-1758	592	78	Ascending
-465	1258	237	-423	1207	237	-1816	509	378	Ascending
-425	676	490	-425	676	746	-1934	566	779	Ascending
-323	131	729	-323	103	724	-1907	759	1159	Ascending
-212	35	1007	-200	35	1007	-1921	840	1193	Ascending
-1148	2793	2357	-1148	2793	1589	-1967	755	1050	Ascending
-255	792	758	-511	637	648	-2000	643	839	Ascending
-386	1041	506	-368	1041	506	-2004	588	524	Ascending
19	1201	293	19	1201	338	-1907	597	242	Ascending
-200	1223	147	-227	1245	147	-1851	693	60	Ascending
-276	1306	81	-276	1306	81	-1785	748	-29	Ascending
-497	1839	312	-753	1769	433	-1728	746	-46	Ascending
-628	1581	-874	-747	1595	-874	-1797	587	231	Ascending
-343	780	-19	-343	524	-68	-1820	533	588	Ascending
-202	115	282	-272	117	282	-1701	517	701	Ascending
-700	2339	1290	-700	2339	778	-1792	549	510	Ascending
38	1501	283	-218	1247	334	-1880	663	268	Ascending
159	1446	-69	5	1446	-69	-1709	825	30	Ascending
5	1294	526	5	1311	465	-1561	934	38	Ascending
-336	1519	306	-353	1718	306	-1420	942	322	Ascending
-646	1411	151	-646	1411	151	-1390	855	684	Ascending
1	649	533	1	546	630	-1254	1073	1039	Ascending
-466	93	958	-470	186	958	-1058	1337	1106	Ascending
-427	11	899	-427	11	899	-1024	1392	1098	Ascending
-348	-87	934	-348	-191	701	-1032	1373	1092	Ascending
-457	692	942	-452	727	942	-1014	1317	1060	Ascending
-351	987	718	-351	987	718	-1092	1176	1048	Ascending
-161	1107	596	-161	1091	596	-1149	1050	983	Ascending
-224	1302	368	-213	1270	368	-1178	992	943	Ascending
-86	1161	490	-86	1161	490	-1174	956	941	Ascending
-191	1156	398	-191	1149	377	-1192	917	910	Ascending
-195	1447	166	-236	1414	166	-1202	909	895	Ascending
-263	1276	175	-263	1276	175	-1187	905	865	Ascending
-211	1639	247	-211	1652	257	-1158	906	843	Ascending
-223	1599	140	-307	1714	140	-1191	945	968	Ascending
-40	1217	610	-40	1217	610	-1243	1108	1164	Ascending
1	645	866	1	634	810	-1176	1357	1313	Ascending
-325	242	803	-356	241	803	-1023	1617	1258	Ascending
-497	863	992	-497	863	1504	-1021	1552	1247	Ascending
-276	843	1126	-266	828	1148	-1067	1444	1240	Ascending
-170	956	782	-192	956	782	-1146	1269	1217	Ascending
-139	1101	540	-139	1101	557	-1194	1120	1153	Ascending
-93	1224	396	-264	1327	396	-1215	1014	1098	Ascending
-277	1207	343	-277	1207	343	-1207	946	1036	Ascending
-237	1201	246	-271	1220	258	-1200	914	991	Ascending
-347	1332	42	-400	1332	42	-1191	898	936	Ascending
-501	1911	72	-501	1911	112	-1192	893	909	Ascending
-98	1428	512	-78	1481	512	-1191	966	1049	Ascending
