-577	1015	490	-23	1015	490	-1867	692	844	Running
-730	4007	1862	-730	4007	1862	-1849	1219	1304	Running
-637	-1502	-200	-746	-1502	-200	-1574	1818	1391	Running
-578	208	-432	-578	208	-432	-1784	1292	1371	Running
-183	3194	1574	-183	3717	1390	-1934	1036	1195	Running
-447	2784	1365	-942	2784	1365	-1861	783	1026	Running
1048	610	747	1048	610	747	-1862	720	903	Running
-803	1849	1517	-803	2873	974	-1818	919	1163	Running
980	1004	841	980	1004	999	-1759	1581	1358	Running
-49	-651	-1673	-164	-651	-1673	-1602	1562	1403	Running
79	2997	447	405	2997	447	-1840	1126	1262	Running
372	1469	294	731	2573	294	-1798	871	1120	Running
381	761	1068	427	575	1227	-1790	716	917	Running
-487	139	531	-743	438	407	-1808	898	1129	Running
444	4338	1352	444	2993	1406	-1805	1540	1337	Running
-512	-327	-42	-512	-327	-358	-1577	1720	1393	Running
-778	1888	1587	-778	1888	1587	-1888	1179	1263	Running
-405	1552	63	279	1552	63	-1873	893	1100	Running
-763	1226	9	-329	1112	9	-1793	705	849	Running
-471	76	-116	-586	109	-201	-1825	826	992	Running
-547	4047	1326	-421	4309	1357	-1773	1497	1260	Running
-750	-1320	-528	-750	-963	-844	-1534	1746	1292	Running
-608	489	697	-608	745	1309	-1759	1295	1232	Running
-1442	666	507	-1442	666	507	-1845	1017	1104	Running
-503	1234	1073	-503	1234	1073	-1778	744	843	Running
-571	402	125	-484	402	125	-1820	732	853	Running
-1338	4339	1298	-1364	4314	1298	-1820	1165	1237	Running
-452	-688	-1570	-296	-688	-1570	-1548	1653	1351	Running
891	1199	-1678	-242	2403	-1011	-1862	1188	1199	Running
-1019	3238	1910	-1019	3238	2422	-1755	872	1017	Running
-446	480	64	-614	382	64	-1809	906	991	Running
-675	3546	651	-675	3546	1242	-1739	1465	1243	Running
15	-816	-1522	-156	-314	-1522	-1500	1568	1332	Running
-730	6709	605	-730	6411	620	-1837	1187	1214	Running
-1296	1206	1475	-1017	1206	1475	-1770	807	970	Running
